nota_fiscal,vendedor,total
428,Adriena,233.47
429,Ellswerth,134.31
430,Suzanna,299.21
431,Tamiko,235.49
432,Laughton,384.65
433,Shawnee,580.75
434,Britney,557.03
435,Lothario,218.56
436,Zena,198.95
437,Crystal,111.55
438,Jerrine,255.2
439,,551.02
440,Benedick,593.33
441,,322.26
442,Jacinta,404.12
443,Rollin,551.07
444,Ellen,163.3
445,Alaine,423.54
446,Shari,264.24
447,Gaby,500.63
448,Nyssa,148.83
449,Malchy,119.22
450,Miner,365.32
451,Dyanna,402.61
452,Addy,336.69
453,Abba,195.55
454,Veradis,495.82
455,Toby,308.04
456,Isador,425.76
457,Joey,222.07
458,Courtenay,294.7
459,Odelle,105.3
460,Neil,515.29
461,Lucine,99.99
462,Mark,330.47
463,Britni,378.69
464,Noellyn,188.94
465,Bernarr,224.44
466,Wash,316.53
467,Nani,373.19
468,Teddi,130.31
469,Fulton,353.5
470,Mordy,351.14
471,Adriane,225.77
472,Meade,499.95
473,Dominic,471.11
474,Kore,324.14
475,Damiano,200.51
476,Karalynn,399.05
477,Christine,158.26
478,Irina,104.88
479,Murvyn,277.22
480,Panchito,415.0
481,Ronnie,373.76
482,Marty,337.63
483,Raffarty,469.18
484,Timothee,459.22
485,Johnny,262.56
486,Emmery,99.57
487,Cassandra,433.82
488,Kerwinn,244.42
489,Dicky,239.3
490,Pattie,97.11
491,Melita,370.17
492,Isabelita,116.34
493,Kara,166.8
494,Krista,206.2
495,Auria,412.3
496,Leonora,227.99
497,Dionne,323.3
498,Lavina,268.43
499,Anneliese,234.81
500,Jarrod,319.71
501,Simone,510.44
502,Dee,387.56
503,Mureil,563.41
504,Nelli,144.36
505,Ursa,169.46
506,Cele,544.03
507,Fin,328.96
508,Lise,134.88
509,Nichole,384.84
510,Hodge,582.18
511,,231.51
512,Johnnie,409.53
513,Robby,117.31
514,Ellswerth,283.71
515,Umberto,573.67
516,Patin,375.52
517,Hillel,205.95
518,Mandy,522.62
519,Lemmie,398.25
520,Dorri,352.3
521,Kally,214.27
522,Cherey,418.53
523,Dalenna,105.7
524,Callida,476.16
525,Yolande,394.57
526,Sibyl,503.1
527,Johannah,425.65
528,Opaline,566.92
529,Faythe,512.63
530,Sophie,215.16
531,,191.09
532,Kiah,360.47
533,Alaster,397.32
534,Pepi,246.04
535,Holmes,383.81
536,Thibaut,278.98
537,Kayle,495.46
538,Kalila,177.21
539,Mada,379.76
540,Pepito,379.24
541,Berni,410.87
542,Deeyn,493.18
543,Dietrich,197.42
544,Wyatt,356.27
545,,478.89
546,Ian,227.08
547,Vivianne,177.26
548,Barrett,275.07
549,Mignonne,557.97
550,Jareb,331.19
551,Cristiano,117.45
552,Mordy,260.42
553,Stacy,220.65
554,Eden,110.5
555,Fallon,562.9
556,Egor,132.77
557,Bertrando,430.47
558,,366.4
559,Sibyl,229.15
560,Gottfried,454.54
561,Alane,183.75
562,Urbano,464.48
563,Barth,273.91
564,Ken,414.03
565,Rickard,521.18
566,Caralie,306.17
567,Zedekiah,134.59
568,Maudie,218.54
569,Harv,280.67
570,Marcelo,563.35
571,Micah,573.77
572,Marylynne,588.77
573,Thedric,308.72
574,Richart,554.53
575,Crysta,260.2
576,Leo,239.66
577,Ellswerth,391.16
578,Michaelina,436.77
579,Renault,241.92
580,Adiana,331.76
581,Ave,551.51
582,Arv,100.34
583,Nelle,164.06
584,Marjorie,392.24
585,Kennan,507.33
586,Ruben,424.87
587,Tiphany,593.14
588,Byram,202.55
589,Catriona,408.59
590,Darcie,503.96
591,Orsa,355.23
592,Kirbie,186.8
593,Mella,260.96
594,Malena,384.3
595,Terrance,209.07
596,Percy,299.2
597,Sallyanne,529.13
598,Zahara,481.76
599,Lauri,488.9
600,Jeanie,521.86
601,Daniela,361.57
602,Emelyne,515.76
603,Shem,242.07
604,Edd,134.3
605,Merry,245.75
606,,530.79
607,Mycah,464.31
608,Raphael,475.97
609,Delly,592.02
610,Iago,282.98
611,Oriana,451.77
612,Gussy,142.16
613,Marcile,454.65
614,Axe,355.48
615,Ynez,446.67
616,Dennis,497.94
617,Jocelyne,152.66
618,Kilian,496.42
619,Charlie,520.93
620,Ibrahim,542.01
621,Axe,352.92
622,Rosalyn,547.01
623,Cindie,255.02
624,Fonz,333.61
625,Amandi,241.19
626,Yetta,157.65
627,Purcell,302.09
628,Adriano,479.0
629,Chrotoem,409.28
630,Nina,382.12
631,Willard,475.32
632,Elsie,597.13
633,Esme,403.02
634,Marcel,536.35
635,Ethelin,174.53
636,Sibeal,381.7
637,Malinde,114.8
638,Hakeem,340.8
639,Reggi,197.33
640,Eb,125.03
641,Kort,156.69
642,Kelcy,279.65
643,Darci,296.04
644,Virgie,496.05
645,Riannon,249.01
646,Beryle,111.75
647,,123.89
648,Honor,434.01
649,Pepe,375.64
650,Imojean,160.48
651,Northrup,234.87
652,Dulci,251.99
653,Brody,350.31
654,Michele,598.71
655,Cathie,489.27
656,Samantha,320.96
657,Iolanthe,347.67
658,Cirstoforo,360.01
659,Arda,120.17
660,Garrik,589.27
661,Kincaid,207.99
662,Natalya,463.0
663,Jorey,229.28
664,Aline,142.03
665,Abner,542.65
666,Corny,513.94
667,Tresa,385.35
668,Dorian,116.82
669,,506.93
670,Darla,172.25
671,Murdock,353.84
672,Martin,258.43
673,Charis,265.84
674,Prinz,252.23
675,Dyan,173.98
676,Birk,478.68
677,Dickie,468.7
678,Dorolisa,573.58
679,Erminia,445.69
680,Marianna,518.48
681,Dennet,185.15
682,Mirabelle,509.63
683,Gale,556.94
684,Benton,191.53
685,Yulma,181.1
686,Haven,543.12
687,Vilma,537.14
688,Gabriella,471.14
689,Anderson,408.82
690,Mead,597.47
691,Ashil,523.72
692,Tony,322.2
693,Kali,134.94
694,Lishe,148.68
695,Krispin,544.22
696,Lawton,482.54
697,Cinderella,103.68
698,Aila,435.71
699,Ariadne,254.65
700,Ethe,319.9
701,Erie,580.5
702,Floria,432.3
703,Lara,287.14
704,Koenraad,232.3
705,Borden,391.91
706,Raychel,200.38
707,Leona,143.52
708,Siffre,563.19
709,Mariann,171.07
710,Lise,379.65
711,Saba,128.48
712,Herc,567.41
713,Hakeem,343.2
714,Thaine,267.87
715,Russell,470.29
716,Quill,216.23
717,Nickola,136.42
718,Amelina,421.85
719,Elsy,407.28
720,Carmen,165.49
721,Tanitansy,369.48
722,Wynnie,459.01
723,Hermann,217.84
724,Bernie,201.31
725,Sibylla,278.05
726,Fancie,151.39
727,Merrile,535.5
728,Kalvin,323.07
729,Carlyle,279.27
730,Granger,525.72
731,Titos,559.54
732,Carver,586.5
733,Zonnya,473.29
734,Kaye,274.26
735,Darb,401.87
736,Artemas,383.68
737,Nerti,548.75
738,Lurlene,430.67
739,Melisent,109.65
740,Rodolfo,454.34
741,Abie,530.95
742,Tiler,349.42
743,Clio,557.17
744,Waite,423.43
745,Banky,270.04
746,Ophelie,221.66
747,Kip,552.91
748,Marve,521.62
749,Janka,579.34
750,Catherine,485.82
751,Care,100.71
752,Mendie,134.21
753,Teodora,174.2
754,Lorry,205.11
755,Moll,422.95
756,Ricoriki,520.21
757,Rana,266.36
758,Laurens,118.39
759,Marigold,430.35
760,Filide,335.53
761,Northrop,232.2
762,Imojean,593.55
763,Errol,506.9
764,Rochell,519.09
765,Neal,263.61
766,Leopold,487.22
767,Gaylord,594.69
768,Whitney,595.58
769,Babbette,283.8
770,Mayne,397.11
771,Oneida,303.28
772,Deeann,164.98
773,Cleveland,307.34
774,Zsazsa,571.43
775,Claudette,214.81
776,Meggie,423.3
777,Puff,272.32
778,Baillie,443.72
779,Goran,140.22
780,Meghan,370.55
781,Doralyn,555.52
782,Jody,131.74
783,Giustina,288.13
784,Meredith,478.39
785,Georgi,183.22
786,Osgood,534.31
787,Loralyn,215.3
788,Morganne,340.22
789,Chuck,569.78
790,Salvador,312.76
791,Anita,179.08
792,Rich,262.29
793,Anabal,354.12
794,Morgana,445.65
795,Morlee,593.9
796,Garrott,237.18
797,Ardyce,315.93
798,Mort,402.44
799,Tamas,145.09
800,Erhard,295.01
801,Wylie,558.72
802,Charmion,446.93
803,Edita,565.75
804,Teresita,202.76
805,Ray,250.05
806,Xymenes,180.49
807,Yorke,127.83
808,Ferne,284.04
809,Weber,408.93
810,Fidelity,484.41
811,Kamila,402.28
812,Tracie,596.84
813,Mariette,597.15
814,Binny,565.39
815,Peirce,108.39
816,Melina,326.36
817,Eamon,312.05
818,Kira,377.96
819,Casie,511.09
820,Alexei,266.41
821,Cris,256.77
822,Horatius,193.91
823,Rafael,203.09
824,Dulsea,312.14
825,,265.66
826,Rickie,442.51
827,Marieann,593.46
828,Hamnet,411.04
829,Joe,518.25
830,Gracie,527.88
831,Blinni,190.2
832,Sadella,154.2
833,Mil,425.15
834,Elli,447.85
835,Bernardo,410.24
836,Stewart,230.35
837,Vannie,529.76
838,Frederigo,117.11
839,Brittney,421.83
840,,567.51
841,Grove,306.12
842,Herold,591.82
843,Joni,110.01
844,Paule,505.55
845,Shaina,126.56
846,Anallese,206.26
847,Brnaby,451.03
848,Yank,174.12
849,Alexandra,595.44
850,Ruthann,258.57
851,Grata,260.68
852,Piggy,510.85
853,Cloris,554.22
854,Denver,541.47
855,Vevay,576.6
856,Germana,230.77
857,Raphael,323.9
858,Cammie,247.87
859,Wendye,471.03
860,Ivor,98.63
861,,294.23
862,Coretta,571.68
863,Marjy,509.64
864,Montague,458.79
865,Goran,505.72
866,Georgeanne,429.08
867,Deloris,105.61
868,Orelle,197.96
869,Lodovico,106.32
870,Petunia,112.08
871,Benn,306.73
872,Sada,212.08
873,Martainn,309.68
874,Grazia,306.45
875,Inger,164.96
876,Kaye,136.07
877,Costa,544.51
878,Dede,487.19
879,Ronna,158.6
880,Leese,487.92
881,Seumas,105.84
882,Carolyne,159.04
883,Chester,509.04
884,Babbie,326.57
885,Sandra,490.08
886,Carline,369.05
887,Barret,244.46
888,Kendell,509.19
889,Luce,355.08
890,Orsa,414.22
891,,337.4
892,,368.9
893,,578.96
894,Bernarr,170.31
895,Elbertina,424.46
896,Reagan,254.58
897,Tobias,577.9
898,Dosi,343.16
899,Lila,458.26
900,Skippie,123.26
901,Bernadina,97.69
902,George,341.8
903,Brien,154.89
904,Chariot,554.88
905,Margie,267.61
906,Gustave,500.17
907,Dorry,310.78
908,Nicholle,142.98
909,Adele,384.05
910,Augustina,491.26
911,,344.15
912,Jewel,476.77
913,Petr,446.74
914,Parker,192.26
915,Rowland,140.85
916,Nonnah,350.48
917,Skip,207.97
918,Alford,323.24
919,Babbie,295.39
920,Del,519.13
921,,410.87
922,Suzette,432.47
923,Drucy,142.46
924,Tito,236.6
925,Marianna,318.2
926,Bambi,572.65
927,Misha,575.16
928,Dunstan,166.53
929,Wat,163.7
930,Fifine,332.68
931,Jocelyne,145.8
932,Allin,241.25
933,Torrin,331.56
934,Noel,324.6
935,Frederique,509.95
936,Terrill,594.35
937,Vernen,166.3
938,Ram,456.07
939,Randell,501.02
940,Raychel,124.8
941,Cheryl,595.06
942,Selia,299.2
943,Alejandro,594.06
944,Ninnette,570.35
945,Vernon,333.62
946,Gill,314.51
947,Hammad,227.39
948,,391.4
949,Fanni,486.01
950,Smitty,422.97
951,Angie,569.54
952,Danielle,317.23
953,Peadar,528.21
954,Shurwood,151.14
955,Harri,375.32
956,Colene,581.55
957,Conny,490.23
958,Frankie,237.08
959,Emmey,568.33
960,Dore,328.24
961,Caresa,381.69
962,Donnell,444.26
963,Putnam,422.5
964,Lolly,480.66
965,Flory,307.72
966,Yorgos,496.9
967,Edmon,247.26
968,Lina,148.59
969,Berna,307.03
970,Orion,118.88
971,Archibold,467.94
972,Dino,374.04
973,Denna,163.22
974,Waylin,369.09
975,Dino,255.91
976,Aeriell,407.65
977,Anthiathia,155.05
978,Cassandry,256.68
979,Bruno,282.14
980,Dacy,319.41
981,Thacher,492.08
982,Adriana,148.32
983,Marleah,106.57
984,Madelyn,423.43
985,Marabel,388.43
986,Melessa,225.5
987,Shela,184.11
988,,287.14
989,Agnola,305.84
990,Ertha,431.57
991,Flor,241.36
992,Lissi,418.06
993,Ingaborg,113.14
994,Baillie,305.27
995,Tressa,495.36
996,Ronny,577.64
997,Farra,434.77
998,Aluino,130.75
999,Amber,233.3
1000,Trumann,460.26
